"KUNTANRO";"KUNTANIMIFI";"KUNTANIMISV";"KUNTAMUOTO";"KIELISYYS";"VAALIPIIRINRO";"VAALIPIIRIFI";"VAALIPIIRISV";"MAAKUNTANRO";"MAAKUNTANIMIFI";"MAAKUNTANIMISV"
"105";"Hyrynsalmi";"Hyrynsalmi";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"106";"Hyvinkää";"Hyvinge";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"108";"Hämeenkyrö";"Tavastkyro";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"109";"Hämeenlinna";"Tavastehus";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"111";"Heinola";"Heinola";"Kaupunki";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"139";"Ii";"Ijo";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"140";"Iisalmi";"Idensalmi";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"142";"Iitti";"Itis";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";6;"Päijät-Häme";"Päijänne-Tavastland"
"143";"Ikaalinen";"Ikalis";"Kaupunki";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"145";"Ilmajoki";"Ilmola";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"146";"Ilomantsi";"Ilomants";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"148";"Inari";"Enare";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"149";"Inkoo";"Ingå";"Kunta";"ruotsi - suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"151";"Isojoki";"Storå";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"152";"Isokyrö";"Storkyro";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"153";"Imatra";"Imatra";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";8;"Etelä-Karjala";"Södra Karelen"
"165";"Janakkala";"Janakkala";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"167";"Joensuu";"Joensuu";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"169";"Jokioinen";"Jockis";"Kunta";"suomi";6;"Hämeen vaalipiiri";"Tavastlands valkrets";4;"Kanta-Häme";"Egentliga Tavastland"
"170";"Jomala";"Jomala";"Kunta";"ruotsi";5;"Ahvenanmaan maakunnan vaalipiiri";"Landskapet Ålands valkrets";19;"Ahvenanmaa";"Åland"
"171";"Joroinen";"Jorois";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"172";"Joutsa";"Joutsa";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"176";"Juuka";"Juga";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"177";"Juupajoki";"Juupajoki";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"178";"Juva";"Juva";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"179";"Jyväskylä";"Jyväskylä";"Kaupunki";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"181";"Jämijärvi";"Jämijärvi";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"182";"Jämsä";"Jämsä";"Kaupunki";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"186";"Järvenpää";"Träskända";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"202";"Kaarina";"S:t Karins";"Kaupunki";"suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"204";"Kaavi";"Kaavi";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"205";"Kajaani";"Kajana";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";17;"Kainuu";"Kajanaland"
"208";"Kalajoki";"Kalajoki";"Kaupunki";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"211";"Kangasala";"Kangasala";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"213";"Kangasniemi";"Kangasniemi";"Kunta";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";9;"Etelä-Savo";"Södra Savolax"
"214";"Kankaanpää";"Kankaanpää";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"216";"Kannonkoski";"Kannonkoski";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"217";"Kannus";"Kannus";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"218";"Karijoki";"Bötom";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"224";"Karkkila";"Högfors";"Kaupunki";"suomi - ruotsi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"226";"Karstula";"Karstula";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"230";"Karvia";"Karvia";"Kunta";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"231";"Kaskinen";"Kaskö";"Kaupunki";"suomi - ruotsi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"232";"Kauhajoki";"Kauhajoki";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"233";"Kauhava";"Kauhava";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";13;"Etelä-Pohjanmaa";"Södra Österbotten"
"235";"Kauniainen";"Grankulla";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"236";"Kaustinen";"Kaustby";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"239";"Keitele";"Keitele";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"240";"Kemi";"Kemi";"Kaupunki";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"241";"Keminmaa";"Keminmaa";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"244";"Kempele";"Kempele";"Kunta";"suomi";12;"Oulun vaalipiiri";"Uleåborgs valkrets";16;"Pohjois-Pohjanmaa";"Norra Österbotten"
"245";"Kerava";"Kervo";"Kaupunki";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"249";"Keuruu";"Keuru";"Kaupunki";"suomi - ruotsi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"250";"Kihniö";"Kihniö";"Kunta";"suomi";7;"Pirkanmaan vaalipiiri";"Birkalands valkrets";5;"Pirkanmaa";"Birkaland"
"256";"Kinnula";"Kinnula";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"257";"Kirkkonummi";"Kyrkslätt";"Kunta";"suomi";2;"Uudenmaan vaalipiiri";"Nylands valkrets";1;"Uusimaa";"Nyland"
"260";"Kitee";"Kides";"Kaupunki";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"261";"Kittilä";"Kittilä";"Kunta";"suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"263";"Kiuruvesi";"Kiuruvesi";"Kaupunki";"suomi - ruotsi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";10;"Pohjois-Savo";"Norra Savolax"
"265";"Kivijärvi";"Kivijärvi";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"271";"Kokemäki";"Kumo";"Kaupunki";"suomi";4;"Satakunnan vaalipiiri";"Satakunta valkrets";3;"Satakunta";"Satakunta"
"272";"Kokkola";"Karleby";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";15;"Keski-Pohjanmaa";"Mellersta Österbotten"
"273";"Kolari";"Kolari";"Kunta";"ruotsi - suomi";13;"Lapin vaalipiiri";"Lapplands valkrets";18;"Lappi";"Lappland"
"275";"Konnevesi";"Konnevesi";"Kunta";"suomi";11;"Keski-Suomen vaalipiiri";"Mellersta Finlands valkrets";12;"Keski-Suomi";"Mellersta Finland"
"276";"Kontiolahti";"Kontiolax";"Kunta";"suomi";9;"Savo-Karjalan vaalipiiri";"Savolax-Karelens valkrets";11;"Pohjois-Karjala";"Norra Karelen"
"280";"Korsnäs";"Korsnäs";"Kunta";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
"284";"Koski Tl";"Koskis";"Kunta";"ruotsi - suomi";3;"Varsinais-Suomen vaalipiiri";"Egentliga Finlands valkrets";2;"Varsinais-Suomi";"Egentliga Finland"
"285";"Kotka";"Kotka";"Kaupunki";"ruotsi - suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";7;"Kymenlaakso";"Kymmenedalen"
"286";"Kouvola";"Kouvola";"Kaupunki";"suomi";8;"Kaakkois-Suomen vaalipiiri";"Sydöstra Finlands valkrets";7;"Kymenlaakso";"Kymmenedalen"
"287";"Kristiinankaupunki";"Kristinestad";"Kaupunki";"suomi";10;"Vaasan vaalipiiri";"Vasa valkrets";14;"Pohjanmaa";"Österbotten"
